Year,UrbanPopulation,RuralPopulation,TotalPopulation,GoldRate,OilPrice,US-IND,GDP,Inflation
1964,90940579,398118730,489059309,63.25,2.88,4.76,339.0573141,13.35526115
1965,93946480,406167866,500114346,71.75,2.86,4.76,322.823222,9.474758592
1966,96971069,414021548,510992617,83.75,2.88,6.36,315.7759852,10.80184835
1967,100070141,421916928,521987069,102.5,2.92,7.5,333.3168933,13.06220248
1968,103304423,430127486,533431909,162,2.94,7.5,337.2158004,3.237412426
1969,106674456,438640214,545314670,176,3.09,7.5,351.4400046,-0.58413661
1970,110162257,447339044,557501301,184,3.18,7.5,361.4861218,5.09226162
1971,113948536,456050642,569999178,193,3.39,7.49,359.3688763,3.079938684
1972,118438504,464399469,582837973,202,3.39,7.59,349.5080817,6.442097462
1973,123114078,472993405,596107483,278.5,3.89,7.74,352.989656,16.94081598
1974,127986735,481735216,609721951,506,6.87,8.1,349.1984451,28.59873408
1975,133010186,490514033,623524219,540,7.67,8.38,372.7127029,5.748430298
1976,138180350,499271098,637451448,432,8.19,8.96,370.6327345,-7.633947634
1977,143540276,508145352,651685628,486,8.57,8.74,388.8385692,8.307470092
1978,149104062,517163698,666267760,685,9,8.19,402.0547122,2.523048757
1979,154888632,526359751,681248383,937,12.64,8.13,372.6163022,6.275683368
1980,160953420,535874965,696828385,1330,21.59,7.86,388.8227791,11.34607348
1981,166932604,545936694,712869298,1800,31.77,8.66,402.9015182,13.1125469
1982,172426704,556742762,729169466,1645,28.52,9.46,407.5856197,7.890742794
1983,178095921,567730625,745826546,1800,26.19,10.1,427.5276958,11.8680813
1984,183956909,578938247,762895156,1970,25.88,11.36,433.9316671,8.318907119
1985,189973343,590268741,780242084,2130,24.09,12.37,446.5773324,5.556424232
1986,196158550,601720443,797878993,2140,12.51,12.61,457.5653912,8.729720727
1987,202485214,613230911,815716125,2570,15.4,12.96,465.3072242,8.801125813
1988,208957670,624772011,833729681,3130,12.58,13.92,499.0846481,9.383471862
1989,215601807,636410866,852012673,3140,15.86,16.23,517.4203321,7.074280029
1990,222374415,648077750,870452165,3200,20.03,17.5,534.4840996,8.971232503
1991,229151406,659790350,888941756,3466,16.54,22.74,528.898177,13.87024618
1992,235824041,671750008,907574049,4334,15.99,25.92,546.4410205,11.78781704
1993,242620668,683730629,926351297,4140,14.25,30.49,560.7985718,6.326890488
1994,249539704,695722254,945261958,4598,13.19,31.37,586.1754576,10.24793556
1995,256565748,707713381,964279129,4680,14.62,32.43,618.1392879,10.22488616
1996,263686524,719594694,983281218,5160,18.46,35.43,651.9583566,8.977152338
1997,270911166,731424064,1002335230,4725,17.23,36.31,665.4661076,7.164252115
1998,278238779,743195797,1021434576,4045,10.87,41.26,693.4085048,13.23083898
1999,285648480,754851574,1040500054,4234,15.56,43.06,740.9162333,4.66982038
2000,293168849,766464826,1059633675,4400,26.72,44.94,755.482294,4.00943591
2001,301227098,777743809,1078970907,4300,21.84,47.19,777.7336603,3.779293122
2002,310207535,788105504,1098313039,4990,22.51,48.61,793.1009618,4.297152039
2003,319267849,798147274,1117415123,5600,27.56,46.58,840.8180443,3.805858995
2004,328414552,807850031,1136264583,5850,36.77,45.32,892.3821035,3.767251735
2005,337558628,817080085,1154638713,7000,50.28,44.1,947.7634353,4.24634362
2006,346659205,825714583,1172373788,8490,59.69,45.31,1008.667137,5.796523376
2007,355789232,833902577,1189691809,10800,66.52,41.35,1070.131538,6.372881356
2008,364989009,841745797,1206734806,12500,94.04,43.51,1087.583036,8.349267049
2009,374274816,849365344,1223640160,14500,56.35,48.41,1156.880666,10.88235294
2010,383721793,856891827,1240613620,18500,74.71,45.73,1238.014727,11.98938992
2011,393333604,864287587,1257621191,26400,95.73,46.67,1285.283034,8.911793365
2012,403171286,871315929,1274487215,31050,94.52,53.44,1337.476111,9.478996914
2013,413200994,877931069,1291132063,29600,95.99,56.57,1404.545346,10.01787847
2014,423338709,883907800,1307246509,28006.5,87.39,62.33,1490.028508,6.665656719
2015,433595954,889270551,1322866505,26343.5,44.39,62.97,1590.174331,4.906973441
2016,444186310,894450030,1338636340,28623.5,38.29,66.46,1701.184238,4.948216341
2017,455009748,899185932,1354195680,29667.5,48.05,67.79,1795.91185,3.328173375
2018,465871825,903131481,1369003306,31438,61.4,70.09,1891.138435,3.938826467
2019,476786386,906325664,1383112050,35220,55.59,70.39,1944.314848,3.729505735
2020,487702168,908684959,1396387127,48651,36.86,76.38,1813.534553,6.623436776
2021,498179071,909384771,1407563842,48720,65.84,74.57,1961.960889,5.131407472
2022,508368361,908804812,1417173173,52670,93.97,81.35,2089.734383,6.699034141